"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-26","79","86","72",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-27","79","87","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-28","79","86","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-29","79","89","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-06-30","81","88","73",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-01","81","88","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-02","81","89","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-03","81","89","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-04","81","88","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-05","80","86","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-06","79","88","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-07","79","87","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-08","80","89","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-09","80","88","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-10","81","89","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-11","81","88","75",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-12","81","89","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-13","81","90","74",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-14","83","87","79",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-15","82","90","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-16","82","89","78",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-17","80","88","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-18","81","88","76",
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2014-07-19","81","89","76",
